PK,TimeStamp,Level,Parent,IsBusiness,Tag,Application,Message,Ticks,DataIn,DataInType,DataOut,DataOutType,TerminalID,TerminalIP,FKUser,ItemID,ItemType,FKExtern,
0,12-01-21 08:16:58,Log,0,True,"","","ctor StoreCheck.Pages.InterventionPage",0,"","","","","","","","","",-1,
0,12-01-21 08:16:59,Log,0,True,"MEM","","50193688 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,12-01-21 08:17:00,Log,0,True,"MEM","","49991672 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,12-01-21 08:17:02,Log,0,True,"MENU Intervention","","arrived",0,"","","","","","","","","",-1,
0,12-01-21 08:17:06,Log,0,True,"MEM","","49501448 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,12-01-21 08:17:12,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,12-01-21 08:17:12,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,12-01-21 08:23:04,Log,0,True,"MEM","","56446912 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,12-01-21 08:23:05,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,12-01-21 08:23:06,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,12-01-21 08:24:16,Log,0,True,"MEM","","59141816 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,12-01-21 08:24:17,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,12-01-21 08:24:17,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,12-01-21 08:31:44,Log,0,True,"MEM","","67442840 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,12-01-21 08:31:46,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,12-01-21 08:31:46,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,12-01-21 08:36:10,Log,0,True,"MEM","","72427120 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,12-01-21 08:36:12,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,12-01-21 08:36:12,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,12-01-21 08:37:25,Log,0,True,"MEM","","72856808 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,12-01-21 08:37:26,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
